Title,Channel,Duration,Focus,Link,TRANSCRIPT
"Internal Coxo Femoral ELDOA for HIP PAIN, SI JOINT PAIN, PELVIC ...",Team Youphoric Health & Performance,,"ELDOA exercise for hip pain, sacroiliac joint pain, pelvic issues",https://www.youtube.com/watch?v=q2x2w8RQmp8,
L5/S1 ELDOA for Low Back Pain and Sciatica,Team Youphoric Health & Performance,,ELDOA exercise for L5/S1 to relieve low back pain and sciatica,https://www.youtube.com/watch?v=fUYr2dC4MjU,
"ELDOA Postures for Low Back, Shoulder & Neck Pain! C6-C7, L3-L4",Team Youphoric Health & Performance,,Series of ELDOA postures addressing multiple spinal segments,https://www.youtube.com/shorts/GWemwzDhOeQ,
HOW TO CORRECT LUMBAR SCOLIOSIS POSTURE: Top 5 ELDOA,Team Youphoric Health & Performance,,Top 5 ELDOA exercises to correct lumbar scoliosis,https://www.youtube.com/watch?v=ElXrqAvQhrg,
Top 5 ELDOA Exercises for SHOULDER PAIN RELIEF to Fix and Prevent Injuries,Team Youphoric Health & Performance,,Top 5 ELDOA exercises for shoulder pain relief,https://www.youtube.com/watch?v=kvrasXPuqKo,
ELDOA EXERCISES FOR THE GLUTEUS MAXIMUS MUSCLE!!! #Shorts,Team Youphoric Health & Performance,0:47,Short demonstration focusing on the gluteus maximus,https://www.youtube.com/shorts/vLcxPVHs-xE,
ELDOA EXERCISES FOR THE GLUTEUS MEDIUS MUSCLE!!! #Shorts,Team Youphoric Health & Performance,0:47,Short demonstration focusing on the gluteus medius,https://www.youtube.com/shorts/XzjRe1JiscY,
ELDOA EXERCISES FOR THE PSOAS MAJOR MUSCLE!!! #Shorts,Team Youphoric Health & Performance,0:44,Short demonstration focusing on the psoas major muscle,https://www.youtube.com/shorts/qJrmlaNoM7A,
THE L5-S1 ELDOA EXERCISE FOR THE SEMIMEMBRANOSUS MUSCLE,Team Youphoric Health & Performance,1:00,ELDOA exercise targeting the semimembranosus muscle at L5-S1,https://www.youtube.com/shorts/GAxpQvTBdLQ,
ELDOA METHOD: LOWER BODY WORKOUT FOR LOW BACK PAIN,Team Youphoric Health & Performance,,Lower body workout using ELDOA to alleviate low back pain,https://www.youtube.com/watch?v=IGch5usNRVc,
Top 5 ELDOA Exercises for SHOULDER PAIN RELIEF & ...,Team Youphoric Health & Performance,,Top 5 ELDOA exercises for shoulder pain relief,https://www.youtube.com/watch?v=kvrasXPuqKo,
MYOFASCIAL STRETCHING Exercises for Low Back Pain & ELDOA,Team Youphoric Health & Performance,,Myofascial stretching exercises combined with ELDOA for low back pain,https://www.youtube.com/watch?v=AnFbrvzwu9Y,
FULL ELDOA METHOD WORKOUT CLASS for Low Back Pain Relief,Team Youphoric Health & Performance,,Full workout class for low back pain relief using ELDOA,https://www.youtube.com/watch?v=yBcVJ1JGU7U,
How to ELIMINATE Hip Pain | The External Coxo-Femoral ELDOA,Team Youphoric Health & Performance,,External coxo-femoral ELDOA to eliminate hip pain,https://www.youtube.com/watch?v=HaBRd45FCpE,
General ELDOA for Spinal Stenosis and Back Pain,Team Youphoric Health & Performance,,General ELDOA exercise for spinal stenosis and back pain,https://www.youtube.com/watch?v=8H7IqdzOMr8,
THE L3-L4 ELDOA EXERCISE FOR THE RECTUS FEMORIS MUSCLE,Team Youphoric Health & Performance,,ELDOA exercise for L3-L4 focusing on the rectus femoris muscle,https://www.youtube.com/shorts/v9HEbtcEMhA,
Top 5 ELDOA Exercises for VALGUS KNEES | Knee Pain Relief,Team Youphoric Health & Performance,,Top 5 ELDOA exercises for valgus knees,https://www.youtube.com/watch?v=5yyez6apMrI,
HOW TO CORRECT THORACIC SCOLIOSIS POSTURE: Top 5 ELDOA,Team Youphoric Health & Performance,,Top 5 ELDOA exercises to correct thoracic scoliosis,https://www.youtube.com/watch?v=xD_wiCyFC_A,
HOW TO CORRECT THORACIC HYPOKYPHOSIS: Top 5 ELDOA,Team Youphoric Health & Performance,,Top 5 ELDOA exercises to correct thoracic hypokyphosis,https://www.youtube.com/watch?v=wqQWCkUskWU,
"ELIMINATE Shoulder PAIN, Elbow Pain, Wrist Pain, Hand Pain & Improve Grip",Team Youphoric Health & Performance,,"ELDOA routine to eliminate pain in shoulder, elbow, wrist, hand and improve grip",https://www.youtube.com/watch?v=P8KFQQ2rH6o,
"ELDOA METHOD CLASS! PROPRIOCEPTION EXERCISES, Myofascial Stretching, Strengthening & ELDOA",Team Youphoric Health & Performance,,Comprehensive ELDOA class including proprioception exercises and myofascial stretching,https://www.youtube.com/watch?v=Upml40vkAxo,
THE T7-T8 ELDOA EXERCISE FOR THE TRANSVERSE ABDOMINIS,Team Youphoric Health & Performance,,ELDOA exercise for T7-T8 focusing on the transverse abdominis,https://www.youtube.com/shorts/-wVmVfI4DVE,
OSEOARTICULAR WARM UP (JOINT MOBILIZATION EXERCISES),Team Youphoric Health & Performance,,Joint mobilization exercises as part of an ELDOA warm-up,https://www.youtube.com/watch?v=FooBA7T11qo,
HOW TO CORRECT LUMBAR HYPOLORDOSIS POSTURE: Top 5 ELDOA,Team Youphoric Health & Performance,,Top 5 ELDOA exercises to correct lumbar hypolordosis,https://www.youtube.com/watch?v=SwQuhWS4gWM,
"Rehabilitation Exercises for Sciatica, Radiculopathy & Carpal Tunnel",Team Youphoric Health & Performance,,"ELDOA exercises for sciatica, radiculopathy and carpal tunnel",https://www.youtube.com/watch?v=aHiqlUEv5xE,
"ELIMINATE Finger Pain, IMPROVE Grip Strength with the C5-C6 ELDOA",Team Youphoric Health & Performance,,ELDOA exercise at C5-C6 to eliminate finger pain and improve grip strength,https://www.youtube.com/watch?v=uVQRF0Kv6nQ,
Top 5 ELDOA Exercises for FLAT FEET: Exercises for Foot Pain Relief,Team Youphoric Health & Performance,,Top 5 ELDOA exercises for flat feet and foot pain relief,https://www.youtube.com/watch?v=tUKx-4nH3FY,
HOW TO CORRECT A ROTATED PELVIS: Top 5 ELDOA Exercises,Team Youphoric Health & Performance,,Top 5 ELDOA exercises to correct a rotated pelvis,https://www.youtube.com/watch?v=l_x7CHI3eNg,
ASK ME ANYTHING: How Can You Treat a C6-C7 Disc Herniation???,Team Youphoric Health & Performance,,Q&A on treating C6-C7 disc herniation using ELDOA,https://www.youtube.com/watch?v=gJqCGDNC9jI,
HOW TO CORRECT A RIB FLARE: Top 5 ELDOA Postures for Flared Ribs,Team Youphoric Health & Performance,,Top 5 ELDOA postures for correcting a rib flare,https://www.youtube.com/watch?v=LRoD3dVoH64,
THE S1-S2 ELDOA EXERCISE FOR THE GASTROCNEMIUS MUSCLE,Team Youphoric Health & Performance,,ELDOA exercise for S1-S2 focusing on gastrocnemius muscle,https://www.youtube.com/shorts/mC41BfsqG_Y,
THE T7-T8 ELDOA EXERCISE FOR THE RECTUS ABDOMINIS MUSCLE,Team Youphoric Health & Performance,,ELDOA exercise for T7-T8 focusing on rectus abdominis muscle,https://www.youtube.com/shorts/-wVmVfI4DVE,
HOW TO CORRECT THORACIC HYPERKYPHOSIS: Top 5 ELDOA,Team Youphoric Health & Performance,,Top 5 ELDOA exercises to correct thoracic hyperkyphosis,https://www.youtube.com/watch?v=fKV_l_3Db8Q,
ELDOA METHOD: 3 MINUTE ABS WORKOUT FROM OBESE TO BEAST,Team Youphoric Health & Performance,,3-minute abs workout using ELDOA,https://www.youtube.com/watch?v=ls7bPWtPEr8,
Top 5 ELDOA EXERCISES for an ANTERIOR PELVIC TILT | How to Fix It,Team Youphoric Health & Performance,,Top 5 ELDOA exercises for anterior pelvic tilt,https://www.youtube.com/watch?v=fBFFPQ9fM-s,
"Rehabilitation Exercises for Piriformis Syndrome, Foot Drop & More",Team Youphoric Health & Performance,3:17,Rehabilitation exercises targeting piriformis syndrome and foot drop using ELDOA.,https://www.youtube.com/watch?v=DHyFeO9QZ84,
ELIMINATE Glute PAIN & Eliminate Coccyodynia with the S5-Coccyx ELDOA,Team Youphoric Health & Performance,,Addressing glute pain and coccyx pain using the S5-Coccyx ELDOA.,https://www.youtube.com/watch?v=YLX4IYWNvg4,
ELIMINATE Low Back Pain with the General ELDOA for Spinal Health,Team Youphoric Health & Performance,,General ELDOA posture for eliminating low back pain and improving spinal health.,https://www.youtube.com/watch?v=PdDx0mKE9Ro,
Is That a PINCHED NERVE? Radiculopathy Explained: How I Diagnose,Team Youphoric Health & Performance,,Explanation of radiculopathy and diagnosing a pinched nerve.,https://www.youtube.com/watch?v=5T-kx46lu08,
Don’t Ignore SCIATICA: What to Do First for Sciatica Relief,Team Youphoric Health & Performance,,Initial steps for sciatic nerve pain relief using ELDOA.,https://www.youtube.com/watch?v=tlzujC-C9o4,
Protect the SPINAL CORD Before It’s TOO LATE! My Approach to Spinal Health,Team Youphoric Health & Performance,13:49,Strategies to protect the spinal cord and maintain spinal health.,https://www.youtube.com/watch?v=-JZEYNjmiPY,
L4/L5 ELDOA for Low Back Pain and Hip Pain,Team Youphoric Health & Performance,,ELDOA exercise targeting L4/L5 to relieve low back and hip pain.,https://www.youtube.com/watch?v=eafCrUS4qBM,
The S1-S2 ELDOA Exercise for the Soleus Muscle,Team Youphoric Health & Performance,,Short ELDOA exercise targeting the soleus muscle at S1-S2 for lower leg relief.,https://www.youtube.com/shorts/Kv1XoMwgw7Y,
T8/T9 ELDOA for Hyperkyphosis Postural Correction and Back Pain,Team Youphoric Health & Performance,,ELDOA posture for T8/T9 thoracic segment addressing hyperkyphosis and back pain.,https://www.youtube.com/watch?v=0MgBI8kSDJo,
Top 5 ELDOA Exercises for Neck Pain Relief,Team Youphoric Health & Performance,,Compilation of the top ELDOA exercises including C6-C7 posture for neck pain relief.,https://www.youtube.com/watch?v=nf6LLULZ8WI,
The T7-T8 ELDOA Exercise for the Internal Oblique,Team Youphoric Health & Performance,,ELDOA posture at T7-T8 targeting internal oblique function.,https://www.youtube.com/shorts/nR7DG7YZOq0,
The L3-L4 ELDOA Exercise for the Vastus Lateralis,Team Youphoric Health & Performance,,ELDOA posture at L3-L4 focusing on the vastus lateralis muscle.,https://www.youtube.com/shorts/L6eM7lIDRvY,
T8/T9 ELDOA Hyperkyphosis Posture Corrector,Team Youphoric Health & Performance,,ELDOA posture to correct hyperkyphosis at T8/T9.,https://www.youtube.com/watch?v=faZ7YmQKHFE,
How to Correct Lumbar Lordosis Posture: Top 5 ELDOA,Team Youphoric Health & Performance,,Top ELDOA exercises for correcting lumbar lordosis.,https://www.youtube.com/watch?v=cw-PJTol4lw,
How to Correct Pigeon Toes: Top 5 ELDOA Exercises,Team Youphoric Health & Performance,,Series of ELDOA exercises designed to correct pigeon-toed posture.,https://www.youtube.com/watch?v=s4tsb2_z3vE,
The L3-L4 & L5-S1 ELDOA for Low Back Pain and T8-T9 ELDOA,Team Youphoric Health & Performance,,"Combination of L3-L4, L5-S1, and T8-T9 ELDOA exercises for back pain relief.",https://www.youtube.com/watch?v=Yl9RdLq5P0I,
The L3-L4 ELDOA Exercise for the Vastus Medialis Muscle,Team Youphoric Health & Performance,,ELDOA posture at L3-L4 targeting the vastus medialis muscle.,https://www.youtube.com/shorts/72wxr6fC9c0,
The T7-T8 ELDOA Exercise for the External Oblique,Team Youphoric Health & Performance,,ELDOA exercise at T7-T8 focusing on the external oblique muscle.,https://www.youtube.com/shorts/UCC3H3Bpi44,
How to Correct an Elevated Pelvis: Top 5 ELDOA Exercises,Team Youphoric Health & Performance,,ELDOA techniques to correct pelvic elevation.,https://www.youtube.com/watch?v=z0rpFZB395U,
How to Correct Bow Legs: Top 5 ELDOA Postures,Team Youphoric Health & Performance,,ELDOA-based approach to correcting bow legs.,https://www.youtube.com/watch?v=uB5mVwSRevc,
ELDOA Exercises for Low Back Pain Relief,Team Youphoric Health & Performance,,ELDOA postures targeting low back pain relief.,https://www.youtube.com/watch?v=UV6EILpoKd0,
The L4-L5 ELDOA Exercise for the Anterior Tibialis,Team Youphoric Health & Performance,,ELDOA posture at L4-L5 focusing on the anterior tibialis muscle.,https://www.youtube.com/shorts/BXHZM9z6t1g,
Top 5 ELDOA Exercises for Medially Rotated Shoulders,Team Youphoric Health & Performance,,ELDOA strategies to correct medially rotated shoulders.,https://www.youtube.com/watch?v=Fh764TvKfPE,
The L3-L4 ELDOA Exercise for the Vastus Intermedius,Team Youphoric Health & Performance,,ELDOA posture at L3-L4 targeting the vastus intermedius muscle.,https://www.youtube.com/shorts/oCJbjedW7vA,
"ELDOA Exercises for Low Back Pain, Hyperkyphosis, Neck Issues",Team Youphoric Health & Performance,,"Combined ELDOA exercises addressing low back pain, hyperkyphosis and neck issues.",https://www.youtube.com/watch?v=0GTuFAj-LRE,
The L5-S1 ELDOA Exercise for the Biceps Femoris Muscle,Team Youphoric Health & Performance,,ELDOA posture at L5-S1 targeting the biceps femoris muscle.,https://www.youtube.com/shorts/CGhCN63itno,
Low Back Pain Exercise: L5-S1 ELDOA | Effective Sciatica Relief,Team Youphoric Health & Performance,,ELDOA posture at L5-S1 for low back pain and sciatica relief.,https://www.youtube.com/watch?v=YxZl_vRwjec,
Improve Posture & Core Strength and Eliminate Abdominal Pain,Team Youphoric Health & Performance,,ELDOA exercises to improve posture and core strength while relieving abdominal pain.,https://www.youtube.com/watch?v=P8Q3MXh0vII,
Spinal Health | ELDOA L5-S1 w/ Stefanie Obregozo (FIX BACK PAIN!),Mind Pump TV,5:33,Demonstration of ELDOA L5-S1 to fix back pain and improve spinal health.,https://www.youtube.com/watch?v=i3Uv8tcjRzQ,
"ELDOA Exercises to Increase Flexibility, Improve Posture & Relieve Pain (Video 1 of 9)",Mind Pump TV,6:54,Part 1 of a series demonstrating ELDOA exercises to increase flexibility and relieve pain.,https://www.youtube.com/watch?v=gvhN0563Vks,
"ELDOA Exercises to Increase Flexibility, Improve Posture & Relieve Pain (Video 2 of 9)",Mind Pump TV,4:06,Part 2 of ELDOA exercise series for flexibility and posture.,https://www.youtube.com/watch?v=Z1CqLD_OniA,
"ELDOA Exercises to Increase Flexibility, Improve Posture & Relieve Pain (Video 3 of 9)",Mind Pump TV,8:18,Part 3 of ELDOA exercise series focusing on posture and pain relief.,https://www.youtube.com/watch?v=iSZK45oUfg8,
"ELDOA Exercises to Increase Flexibility, Improve Posture & Relieve Pain (Video 4 of 9)",Mind Pump TV,5:12,Part 4 of ELDOA exercise series to improve flexibility and posture.,https://www.youtube.com/watch?v=9vT0Q8ias3Q,
"ELDOA Exercises to Increase Flexibility, Improve Posture & Relieve Pain (Video 5 of 9)",Mind Pump TV,3:39,Part 5 of ELDOA exercise series for flexibility and pain relief.,https://www.youtube.com/watch?v=0F19kuvq49A,
E.L.D.O.A. L5/S1 Active Low Back Decompression,Dr. Sofia Costa,9:00,Active decompression exercise targeting the L5-S1 segment.,https://www.youtube.com/watch?v=jaN4xUceNws,
"ELDOA™ 30 minute class: hips, shoulders, spine",Sheri Kimura,30:00:00,"Full class focusing on hips, shoulders and spine using ELDOA.",https://www.youtube.com/watch?v=Iw9dlBmdsTo,
"A full-body ELDOA™ class: Shoulders, Hips, and Spine",Sheri Kimura,,"Full-body ELDOA class targeting shoulders, hips and spine.",https://www.youtube.com/watch?v=6WU4pFxIch8,
ELDOA™ for Upper back & Shoulders,Sheri Kimura,29:01:00,ELDOA class focusing on the upper back and shoulders.,https://www.youtube.com/watch?v=eDmy-x7UQPs,
"Upper Thoracic, Shoulder & Neck ELDOA™ class",Sheri Kimura,40:47:00,"ELDOA class targeting upper thoracic, shoulder and neck areas.",https://www.youtube.com/watch?v=4cJPHXfokFg,
ELDOA™ Beginner/Int: General ELDOA breakdown,Sheri Kimura,,General ELDOA breakdown for beginners and intermediate practitioners.,https://www.youtube.com/watch?v=eIBxPMB1ZMA,
"30 Min Upper Body Mat Class: ELDOA Postures, Mobility & Core",Sheri Kimura,30:00:00,"Upper body mat class incorporating ELDOA postures, mobility and core work.",https://www.youtube.com/watch?v=ZNmDYCVMyNM,
"40 Minute Lower Body Class: ELDOA Postures, Mobility Work & Core",Sheri Kimura,40:00:00,Lower body class focusing on ELDOA postures and mobility work with core exercises.,https://www.youtube.com/watch?v=Pa_tXMe7OI4,
6 Deep Stretches for Your Spine (ELDOA),Redefined Yoga,9:19,Video demonstrating six deep ELDOA stretches for spinal health.,https://www.youtube.com/watch?v=9obuwVpHNTk,
Spinal Health - ELDOA L5-S1 | Episode 009,Carolyn Zepf,,Episode focusing on ELDOA L5-S1 for spinal health.,https://www.youtube.com/watch?v=7jsMF_G0u6c,
"ELDOA™ 30-minute Hips, Shoulders & Spine class",Solcore Therapy & Fitness,,"ELDOA class focusing on hips, shoulders, and spine from Solcore Therapy & Fitness.",https://www.youtube.com/watch?v=Iw9dlBmdsTo,
ELDOA™ Upper Back & Shoulders - Class,Solcore Therapy & Fitness,,ELDOA class targeting upper back and shoulders from Solcore Therapy & Fitness.,https://www.youtube.com/watch?v=eDmy-x7UQPs,
30 Min Eldoa Class w/ Pam (Part one),CU Ravens,30:39:00,Half-hour ELDOA class for beginners with instructor Pam.,https://www.youtube.com/watch?v=Rl1l08mnyGQ,
30 Min Eldoa Class w/ Pam (Part two),CU Ravens,31:40:00,Continuation of the 30-minute ELDOA class with Pam.,https://www.youtube.com/watch?v=LTSclCe2XUY,
ELDOA Flow for the Neck,Stone Bodyworks Fitness,4:38:00,"ELDOA postures for T1-2, C4-5 & C6-7. Performed regularly, these postures can help create space in the cervical spine to aid in its longevity and resilience.",https://www.youtube.com/watch?v=60ZSc6xl4Dc,
